Zadajte pocet replikacii
1001
PocetPracovnikov1        PocetPracovnikov2       Sg1PriemernyCasCakania  Sg2PrimernyPocet        Sg3PriemernyCasVServise         Sg4PriemernyCasOpravy      Sg5PriemernySysteme     Sg11PrimernyPocetNaKonciDna     IS_NaZadanieObjednavkyMin         IS_NaZadanieObjednavkyMax       IS_NaOpravyMin  IS_NaOpravyMax     IS_VSystemeMin  IS_VSystemeMax

2        16      6505,10600843619        21,8066983853167        6814,35275490105        7238,73440555829        14477,4688111166        43,8287555555556        6497,8079622439         6512,40405462849        7232,17241340653        7245,29639771006       6491,98202413266        6518,22999273973
2        17      6506,39778910246        21,8257082127266        6815,64299672291        7167,17055288249        14334,341105765         43,9136888888889        6498,6311186935         6514,16445951142        7161,07351943388        7173,26758633111       6494,20372220524        6518,59185599969
2        18      6505,08047018872        21,811231393192         6814,33251319966        7137,9348092778         14275,8696185556        43,8706111111111        6497,50837188207        6512,65256849537        7132,48261263948        7143,38700591613       6494,17607691207        6515,98486346537
2        19      6496,74412519478        21,7822488105985        6805,99551848716        7120,76400651888        14241,5280130378        43,8390444444445        6489,10373520135        6504,3845151882         7115,52481277964        7126,00320025812       6486,2657377163         6507,22251267326
2        20      6511,73360367479        21,8301596127825        6820,96964327023        7110,94451532392        14221,8890306478        43,8968444444444        6504,31155184544        6519,15565550414        7106,00713973763        7115,88189091021       6501,8588525022         6521,60835484738
2        21      6501,80367693103        21,8112581403763        6811,04251343668        7114,82558343372        14229,6511668674        43,9183888888889        6494,47887143504        6509,12848242701        7109,72666164074        7119,9245052267        6491,60583334507        6512,00152051699
2        22      6497,61439834636        21,7910217690395        6806,77243354363        7104,75771869579        14209,5154373916        43,8689111111112        6490,1663147168         6505,06248197592        7099,68128538562        7109,83415200596       6487,46153172601        6507,7672649667
2        23      6504,49169514809        21,7986515788945        6813,72831679033        7107,50956585456        14215,0191317091        43,8470555555555        6497,06291136178        6511,92047893439        7102,42726080501        7112,59187090411       6494,32708504898        6514,65630524719
2        24      6501,90781530359        21,8116345611442        6811,16234279721        7107,55517651691        14215,1103530338        43,8966555555555        6494,32512074984        6509,49050985733        7102,31477663145        7112,79557640238       6491,42701553265        6512,38861507452
2        25      6499,32805445688        21,7799963337074        6808,58414372939        7110,70708036151        14221,414160723         43,8307666666666        6491,85295548186        6506,80315343191        7105,62796263266        7115,78619809037       6489,16981899917        6509,4862899146
2        26      6505,27041518578        21,8185473319294        6814,56069179103        7108,69738999091        14217,3947799818        43,8975888888889        6497,61569855686        6512,9251318147         7103,50095574793        7113,89382423389       6494,87754669982        6515,66328367174
3        16      2909,35845203423        10,005349858487         3219,05250478465        44108,8568772249        88217,7137544498        18,4805666666667        2901,34492673004        2917,37197733843        43045,6733114158        45172,0404430339       782,991320416163        5035,7255836523
3        17      2981,90835968795        10,2032304831927        3291,54157956387        12527,9538844922        25055,9077689843        19,0078111111111        2974,6054091992         2989,21131017671        12389,9457329842        12665,9620360001       2705,89205667203        3257,92466270388
3        18      2979,21376414389        10,1612184441109        3288,84048625881        8908,61141762748        17817,222835255         19,0467222222222        2972,19733780445        2986,23019048333        8877,2307164465         8939,99211880847       2916,45236178192        3041,97516650586
3        19      2973,81671523969        10,1109867398335        3283,48404708587        7889,26346421856        15778,5269284371        18,9996555555556        2966,50962122039        2981,12380925899        7874,04963879522        7904,4772896419        2943,38906439301        3004,24436608636
3        20      2960,00100147036        10,0622741654649        3269,72224351029        7460,63344574401        14921,266891488         19,0079666666667        2952,92547870203        2967,0765242387         7450,60674200696        7470,66014948106       2939,94759399626        2980,05440894447
3        21      2953,93967505606        10,0336879548776        3263,65211086496        7250,06045970623        14500,1209194125        18,9655777777778        2946,5694940812         2961,30985603091        7243,20574552666        7256,9151738858        2940,23024669692        2967,64910341519
3        22      2950,68101319019        10,0139235185213        3260,33346359557        7138,3401052489         14276,6802104978        18,9410222222222        2943,50877877324        2957,85324760715        7132,74519722663        7143,93501327117       2939,49119714566        2961,87082923473
